VR-10_Variable_region_insert_primer_1_	VR-10	98.305	236	3	1	26	261	47	281	4.05e-118	412
VR-12_Variable_region_insert_primer_1_	VR-12	100.000	201	0	0	67	267	81	281	6.87e-106	372
VR-12_Variable_region_insert_primer_1_	VR-28	100.000	32	0	0	236	267	250	281	6.08e-12	60.2
VR-12_Variable_region_insert_primer_1_	VR-21	97.143	35	1	0	233	267	247	281	6.08e-12	60.2
VR-12_Variable_region_insert_primer_1_	VR-14	94.872	39	1	1	229	267	244	281	6.08e-12	60.2
VR-12_Variable_region_insert_primer_1_	VR-30	100.000	31	0	0	237	267	251	281	2.19e-11	58.4
VR-12_Variable_region_insert_primer_1_	VR-27	100.000	31	0	0	237	267	251	281	2.19e-11	58.4
VR-12_Variable_region_insert_primer_1_	VR-24	97.059	34	1	0	234	267	248	281	2.19e-11	58.4
VR-12_Variable_region_insert_primer_1_	VR-10	100.000	31	0	0	237	267	251	281	2.19e-11	58.4
VR-12_Variable_region_insert_primer_1_	VR-7	100.000	31	0	0	237	267	251	281	2.19e-11	58.4
VR-12_Variable_region_insert_primer_1_	VR-6	100.000	31	0	0	237	267	251	281	2.19e-11	58.4
VR-12_Variable_region_insert_primer_1_	VR-4	92.500	40	3	0	228	267	242	281	2.19e-11	58.4
VR-12_Variable_region_insert_primer_1_	VR-2	100.000	31	0	0	237	267	251	281	2.19e-11	58.4
VR-12_Variable_region_insert_primer_1_	VR-31	100.000	30	0	0	238	267	252	281	7.86e-11	56.5
VR-12_Variable_region_insert_primer_1_	VR-29	100.000	30	0	0	238	267	252	281	7.86e-11	56.5
VR-12_Variable_region_insert_primer_1_	VR-26	100.000	30	0	0	238	267	252	281	7.86e-11	56.5
VR-12_Variable_region_insert_primer_1_	VR-25	100.000	30	0	0	238	267	252	281	7.86e-11	56.5
VR-12_Variable_region_insert_primer_1_	VR-23	96.970	33	1	0	235	267	249	281	7.86e-11	56.5
VR-12_Variable_region_insert_primer_1_	VR-22	100.000	30	0	0	238	267	252	281	7.86e-11	56.5
VR-12_Variable_region_insert_primer_1_	VR-20	96.970	33	1	0	235	267	249	281	7.86e-11	56.5
VR-12_Variable_region_insert_primer_1_	VR-19	100.000	30	0	0	238	267	252	281	7.86e-11	56.5
VR-12_Variable_region_insert_primer_1_	VR-18	100.000	30	0	0	238	267	252	281	7.86e-11	56.5
VR-12_Variable_region_insert_primer_1_	VR-17	100.000	30	0	0	238	267	252	281	7.86e-11	56.5
VR-12_Variable_region_insert_primer_1_	VR-16	100.000	30	0	0	238	267	252	281	7.86e-11	56.5
VR-12_Variable_region_insert_primer_1_	VR-15	100.000	30	0	0	238	267	252	281	7.86e-11	56.5
VR-12_Variable_region_insert_primer_1_	VR-13	100.000	30	0	0	238	267	252	281	7.86e-11	56.5
VR-12_Variable_region_insert_primer_1_	VR-11	100.000	30	0	0	238	267	252	281	7.86e-11	56.5
VR-12_Variable_region_insert_primer_1_	VR-9	100.000	30	0	0	238	267	252	281	7.86e-11	56.5
VR-12_Variable_region_insert_primer_1_	VR-8	100.000	30	0	0	238	267	252	281	7.86e-11	56.5
VR-12_Variable_region_insert_primer_1_	VR-5	100.000	30	0	0	238	267	252	281	7.86e-11	56.5
VR-12_Variable_region_insert_primer_1_	VR-3	100.000	30	0	0	238	267	252	281	7.86e-11	56.5
VR-12_Variable_region_insert_primer_1_	VR-1	100.000	30	0	0	238	267	252	281	7.86e-11	56.5
VR-13_Variable_region_insert_primer_1_	VR-13	98.333	240	1	3	16	254	44	281	6.49e-120	418
VR-16_Variable_region_insert_primer_1_	VR-16	100.000	212	0	0	51	262	70	281	5.28e-112	392
VR-16_Variable_region_insert_primer_1_	VR-24	80.198	101	18	2	163	262	182	281	2.17e-16	75.0
VR-16_Variable_region_insert_primer_1_	VR-20	80.460	87	15	2	177	262	196	281	1.31e-13	65.8
VR-16_Variable_region_insert_primer_1_	VR-9	100.000	33	0	0	230	262	249	281	1.69e-12	62.1
VR-16_Variable_region_insert_primer_1_	VR-31	100.000	31	0	0	232	262	251	281	2.19e-11	58.4
VR-16_Variable_region_insert_primer_1_	VR-29	100.000	31	0	0	232	262	251	281	2.19e-11	58.4
